Fecha; FondoA; FondoB; FondoC; FondoD; FondoE;
29-Feb-2020;51.259,35;44.581,21;51.163,88;38.533,86;46.251,88;
28-Feb-2020;51.259,35;44.581,21;51.163,88;38.533,86;46.251,88;
27-Feb-2020;52.150,58;45.186,55;51.740,97;38.910,24;46.535,88;
26-Feb-2020;52.600,19;45.438,22;52.002,87;39.064,27;46.645,30;
25-Feb-2020;53.145,00;45.752,58;52.167,31;39.088,23;46.583,41;
24-Feb-2020;54.304,53;46.486,61;52.585,02;39.122,20;46.430,01;
23-Feb-2020;54.289,72;46.558,62;52.740,28;39.317,54;46.665,97;
22-Feb-2020;54.289,72;46.558,62;52.740,28;39.317,54;46.665,97;
21-Feb-2020;54.289,72;46.558,62;52.740,28;39.317,54;46.665,97;
20-Feb-2020;54.114,72;46.524,16;52.862,42;39.546,99;46.962,03;
19-Feb-2020;53.957,58;46.471,47;52.945,99;39.694,18;47.159,38;
18-Feb-2020;54.087,00;46.599,86;53.140,40;39.866,86;47.320,28;
17-Feb-2020;54.123,34;46.620,34;53.183,31;39.886,64;47.337,58;
16-Feb-2020;54.236,41;46.700,19;53.283,85;39.965,54;47.398,46;
15-Feb-2020;54.236,41;46.700,19;53.283,85;39.965,54;47.398,46;
14-Feb-2020;54.236,41;46.700,19;53.283,85;39.965,54;47.398,46;
13-Feb-2020;54.017,76;46.578,71;53.240,96;40.002,86;47.479,47;
12-Feb-2020;53.924,76;46.514,87;53.210,30;39.987,74;47.483,23;
11-Feb-2020;53.707,85;46.386,06;53.169,86;40.033,28;47.588,84;
10-Feb-2020;53.482,92;46.237,43;53.047,22;39.955,57;47.528,91;
09-Feb-2020;53.349,26;46.143,97;52.933,32;39.882,58;47.444,83;
08-Feb-2020;53.349,26;46.143,97;52.933,32;39.882,58;47.444,83;
07-Feb-2020;53.349,26;46.143,97;52.933,32;39.882,58;47.444,83;
06-Feb-2020;53.031,94;45.931,89;52.772,47;39.838,21;47.427,47;
05-Feb-2020;52.925,80;45.853,67;52.729,62;39.827,79;47.436,41;
04-Feb-2020;52.641,97;45.644,55;52.564,77;39.761,62;47.408,53;
03-Feb-2020;53.192,11;46.008,80;52.846,42;39.841,18;47.428,26;
02-Feb-2020;53.452,83;46.152,91;52.928,74;39.883,45;47.426,35;
01-Feb-2020;53.452,83;46.152,91;52.928,74;39.883,45;47.426,35;
31-Ene-2020;53.452,83;46.152,91;52.928,74;39.883,45;47.426,35;
30-Ene-2020;53.311,36;46.079,54;52.913,95;39.900,30;47.460,86;
29-Ene-2020;53.392,58;46.148,59;52.969,88;39.940,62;47.494,65;
28-Ene-2020;53.179,43;46.007,24;52.858,16;39.857,19;47.431,41;
27-Ene-2020;53.398,10;46.118,79;52.902,27;39.840,69;47.358,04;
26-Ene-2020;53.217,36;46.005,78;52.838,97;39.873,41;47.408,14;
25-Ene-2020;53.217,36;46.005,78;52.838,97;39.873,41;47.408,14;
24-Ene-2020;53.217,36;46.005,78;52.838,97;39.873,41;47.408,14;
23-Ene-2020;53.524,70;46.226,18;53.071,31;39.992,79;47.479,01;
22-Ene-2020;53.351,36;46.127,40;53.037,95;40.015,87;47.535,73;
21-Ene-2020;53.890,77;46.501,51;53.350,69;40.155,10;47.612,71;
20-Ene-2020;54.006,72;46.572,07;53.347,87;40.078,62;47.504,96;
19-Ene-2020;53.957,08;46.505,69;53.226,13;39.955,74;47.358,27;
18-Ene-2020;53.957,08;46.505,69;53.226,13;39.955,74;47.358,27;
17-Ene-2020;53.957,08;46.505,69;53.226,13;39.955,74;47.358,27;
16-Ene-2020;53.737,15;46.347,17;53.054,24;39.841,40;47.264,46;
15-Ene-2020;53.888,62;46.429,04;53.083,65;39.814,09;47.183,55;
14-Ene-2020;54.210,27;46.630,60;53.228,83;39.848,29;47.163,30;
13-Ene-2020;53.597,30;46.236,62;52.911,47;39.719,28;47.114,83;
12-Ene-2020;53.165,89;45.964,01;52.753,06;39.753,44;47.233,94;
11-Ene-2020;53.165,89;45.964,01;52.753,06;39.753,44;47.233,94;
10-Ene-2020;53.165,89;45.964,01;52.753,06;39.753,44;47.233,94;
09-Ene-2020;52.954,24;45.825,00;52.665,14;39.746,91;47.272,72;
08-Ene-2020;53.290,81;46.046,93;52.875,25;39.848,07;47.326,23;
07-Ene-2020;53.052,66;45.884,18;52.734,95;39.812,00;47.323,43;
06-Ene-2020;52.546,87;45.557,60;52.450,00;39.685,86;47.260,68;
05-Ene-2020;52.409,84;45.428,99;52.320,37;39.610,62;47.187,64;
04-Ene-2020;52.409,84;45.428,99;52.320,37;39.610,62;47.187,64;
03-Ene-2020;52.409,84;45.428,99;52.320,37;39.610,62;47.187,64;
02-Ene-2020;51.590,88;44.877,13;51.857,54;39.380,57;47.039,25;
01-Ene-2020;51.398,91;44.769,87;51.792,66;39.362,85;47.050,64;
31-Dic-2019;51.398,91;44.769,87;51.792,66;39.362,85;47.050,64;
30-Dic-2019;51.431,49;44.767,88;51.755,16;39.321,19;47.003,91;
29-Dic-2019;51.355,95;44.681,25;51.607,40;39.192,51;46.893,26;
28-Dic-2019;51.355,95;44.681,25;51.607,40;39.192,51;46.893,26;
27-Dic-2019;51.355,95;44.681,25;51.607,40;39.192,51;46.893,26;
26-Dic-2019;51.544,85;44.794,13;51.657,37;39.170,52;46.838,29;
25-Dic-2019;51.724,91;44.917,19;51.775,42;39.243,17;46.879,83;
24-Dic-2019;51.724,91;44.917,19;51.775,42;39.243,17;46.879,83;
23-Dic-2019;51.484,25;44.767,82;51.673,30;39.218,11;46.909,33;
22-Dic-2019;51.560,32;44.828,37;51.758,25;39.279,41;46.968,30;
21-Dic-2019;51.560,32;44.828,37;51.758,25;39.279,41;46.968,30;
20-Dic-2019;51.560,32;44.828,37;51.758,25;39.279,41;46.968,30;
19-Dic-2019;51.547,64;44.812,84;51.770,09;39.279,66;46.982,69;
18-Dic-2019;51.813,20;44.991,63;51.884,59;39.280,70;46.955,09;
17-Dic-2019;52.016,51;45.024,31;51.656,07;38.913,81;46.456,49;
16-Dic-2019;52.041,01;44.958,30;51.392,36;38.545,82;46.019,78;
15-Dic-2019;51.718,35;44.655,67;50.980,16;38.225,39;45.699,41;
14-Dic-2019;51.718,35;44.655,67;50.980,16;38.225,39;45.699,41;
13-Dic-2019;51.718,35;44.655,67;50.980,16;38.225,39;45.699,41;
12-Dic-2019;51.557,66;44.520,16;50.792,13;38.036,26;45.469,53;
11-Dic-2019;51.546,20;44.472,28;50.642,35;37.858,43;45.246,88;
10-Dic-2019;51.228,73;44.244,80;50.438,83;37.740,29;45.155,90;
09-Dic-2019;51.615,63;44.479,53;50.580,89;37.769,73;45.131,90;
08-Dic-2019;51.561,90;44.417,86;50.505,84;37.685,98;45.027,78;
07-Dic-2019;51.561,90;44.417,86;50.505,84;37.685,98;45.027,78;
06-Dic-2019;51.561,90;44.417,86;50.505,84;37.685,98;45.027,78;
05-Dic-2019;51.790,25;44.558,65;50.708,11;37.851,41;45.139,76;
04-Dic-2019;51.763,73;44.536,44;50.724,99;37.890,99;45.190,03;
03-Dic-2019;52.044,32;44.723,06;50.909,76;38.005,77;45.290,82;
02-Dic-2019;52.494,66;45.051,47;51.222,85;38.223,42;45.493,94;
01-Dic-2019;53.446,63;45.680,17;51.757,32;38.455,93;45.571,04;
30-Nov-2019;53.446,63;45.680,17;51.757,32;38.455,93;45.571,04;
29-Nov-2019;53.446,63;45.680,17;51.757,32;38.455,93;45.571,04;
28-Nov-2019;52.517,20;45.113,34;51.374,71;38.390,61;45.662,09;
27-Nov-2019;51.784,13;44.655,74;51.036,86;38.291,94;45.672,42;
26-Nov-2019;51.904,74;44.730,41;51.046,32;38.237,15;45.573,31;
25-Nov-2019;51.953,37;44.737,80;51.008,51;38.166,18;45.468,71;
24-Nov-2019;51.868,11;44.682,00;50.940,64;38.099,25;45.374,69;
23-Nov-2019;51.868,11;44.682,00;50.940,64;38.099,25;45.374,69;
22-Nov-2019;51.868,11;44.682,00;50.940,64;38.099,25;45.374,69;
21-Nov-2019;52.090,36;44.846,60;51.060,60;38.142,77;45.412,96;
20-Nov-2019;51.585,09;44.552,09;50.925,78;38.209,14;45.592,12;
19-Nov-2019;51.152,38;44.246,09;50.638,40;38.089,01;45.523,81;
18-Nov-2019;51.474,92;44.337,75;50.598,87;37.917,11;45.140,40;
17-Nov-2019;51.529,09;43.916,70;49.538,45;36.598,42;43.249,47;
16-Nov-2019;51.529,09;43.916,70;49.538,45;36.598,42;43.249,47;
15-Nov-2019;51.529,09;43.916,70;49.538,45;36.598,42;43.249,47;
14-Nov-2019;51.257,79;44.255,83;50.504,77;37.925,08;45.252,48;
13-Nov-2019;51.143,16;44.351,14;51.007,51;38.542,94;46.062,42;
12-Nov-2019;50.110,21;43.805,87;50.804,72;38.754,43;46.585,39;
11-Nov-2019;49.939,19;43.736,48;50.744,31;38.724,01;46.614,30;
10-Nov-2019;49.774,87;43.570,37;50.534,44;38.542,58;46.346,62;
09-Nov-2019;49.774,87;43.570,37;50.534,44;38.542,58;46.346,62;
08-Nov-2019;49.774,87;43.570,37;50.534,44;38.542,58;46.346,62;
07-Nov-2019;49.758,67;43.533,31;50.448,08;38.455,42;46.224,35;
06-Nov-2019;50.120,62;43.775,43;50.602,87;38.493,97;46.180,72;
05-Nov-2019;49.792,93;43.616,03;50.509,96;38.505,55;46.275,39;
04-Nov-2019;49.301,75;43.338,69;50.380,10;38.568,15;46.448,82;
03-Nov-2019;48.943,62;43.181,09;50.311,47;38.610,33;46.599,72;
02-Nov-2019;48.943,62;43.181,09;50.311,47;38.610,33;46.599,72;
01-Nov-2019;48.943,62;43.181,09;50.311,47;38.610,33;46.599,72;
31-Oct-2019;48.943,62;43.181,09;50.311,47;38.610,33;46.599,72;
30-Oct-2019;48.943,62;43.181,09;50.311,47;38.610,33;46.599,72;
29-Oct-2019;48.982,26;43.257,17;50.465,90;38.777,34;46.821,24;
28-Oct-2019;48.826,67;43.183,15;50.523,07;38.923,97;47.041,92;
27-Oct-2019;48.630,57;43.050,34;50.433,12;38.892,79;47.045,28;
26-Oct-2019;48.630,57;43.050,34;50.433,12;38.892,79;47.045,28;
25-Oct-2019;48.630,57;43.050,34;50.433,12;38.892,79;47.045,28;
24-Oct-2019;48.662,48;43.024,87;50.335,93;38.755,83;46.837,79;
23-Oct-2019;48.748,46;43.120,71;50.392,35;38.779,30;46.885,15;
22-Oct-2019;48.593,52;43.121,60;50.597,48;39.093,04;47.363,79;
21-Oct-2019;48.236,07;42.995,56;50.613,30;39.210,91;47.647,31;
20-Oct-2019;48.424,44;43.162,74;50.837,80;39.402,03;47.838,89;
19-Oct-2019;48.424,44;43.162,74;50.837,80;39.402,03;47.838,89;
18-Oct-2019;48.424,44;43.162,74;50.837,80;39.402,03;47.838,89;
17-Oct-2019;48.507,31;43.277,76;51.177,87;39.786,10;48.260,70;
16-Oct-2019;48.259,35;43.135,17;51.092,35;39.802,27;48.334,76;
15-Oct-2019;47.905,20;42.919,51;50.934,24;39.762,60;48.343,70;
14-Oct-2019;47.906,54;42.919,58;50.954,57;39.806,32;48.403,80;
13-Oct-2019;47.715,63;42.810,03;50.948,33;39.901,45;48.547,45;
12-Oct-2019;47.715,63;42.810,03;50.948,33;39.901,45;48.547,45;
11-Oct-2019;47.715,63;42.810,03;50.948,33;39.901,45;48.547,45;
10-Oct-2019;47.749,61;42.853,95;51.051,55;40.005,74;48.663,96;
09-Oct-2019;47.530,87;42.684,22;50.887,68;39.886,43;48.550,03;
08-Oct-2019;47.468,98;42.638,42;50.809,12;39.846,44;48.525,63;
07-Oct-2019;47.432,32;42.584,14;50.716,74;39.776,96;48.449,46;
06-Oct-2019;47.371,29;42.509,66;50.624,14;39.688,18;48.356,95;
05-Oct-2019;47.371,29;42.509,66;50.624,14;39.688,18;48.356,95;
04-Oct-2019;47.371,29;42.509,66;50.624,14;39.688,18;48.356,95;
03-Oct-2019;47.673,16;42.662,33;50.652,28;39.575,13;48.146,72;
02-Oct-2019;48.116,34;42.939,34;50.814,73;39.604,29;48.102,45;
01-Oct-2019;48.258,46;43.055,49;50.888,69;39.658,88;48.160,79;
30-Sep-2019;48.276,26;43.087,84;50.920,28;39.665,73;48.158,45;
29-Sep-2019;48.095,44;42.961,74;50.841,86;39.624,63;48.115,09;
28-Sep-2019;48.095,44;42.961,74;50.841,86;39.624,63;48.115,09;
27-Sep-2019;48.095,44;42.961,74;50.841,86;39.624,63;48.115,09;
26-Sep-2019;47.974,14;42.891,96;50.816,14;39.671,58;48.192,79;
25-Sep-2019;47.977,10;42.898,92;50.837,99;39.659,55;48.174,01;
24-Sep-2019;48.112,06;42.971,67;50.837,69;39.610,10;48.091,23;
23-Sep-2019;47.879,17;42.806,25;50.697,44;39.536,28;48.028,39;
22-Sep-2019;47.543,31;42.566,89;50.478,85;39.452,73;48.000,35;
21-Sep-2019;47.543,31;42.566,89;50.478,85;39.452,73;48.000,35;
20-Sep-2019;47.543,31;42.566,89;50.478,85;39.452,73;48.000,35;
19-Sep-2019;47.543,31;42.566,89;50.478,85;39.452,73;48.000,35;
18-Sep-2019;47.543,31;42.566,89;50.478,85;39.452,73;48.000,35;
17-Sep-2019;47.543,31;42.566,89;50.478,85;39.452,73;48.000,35;
16-Sep-2019;47.524,69;42.569,44;50.506,08;39.504,83;48.068,82;
15-Sep-2019;47.612,96;42.663,44;50.689,11;39.682,95;48.256,39;
14-Sep-2019;47.612,96;42.663,44;50.689,11;39.682,95;48.256,39;
13-Sep-2019;47.612,96;42.663,44;50.689,11;39.682,95;48.256,39;
12-Sep-2019;47.498,63;42.562,68;50.592,83;39.629,23;48.216,99;
11-Sep-2019;47.229,11;42.426,38;50.603,73;39.745,76;48.397,79;
10-Sep-2019;47.205,70;42.434,55;50.647,45;39.791,34;48.454,69;
09-Sep-2019;47.018,70;42.320,38;50.611,08;39.832,13;48.528,80;
08-Sep-2019;47.127,20;42.393,18;50.663,75;39.845,08;48.533,89;
07-Sep-2019;47.127,20;42.393,18;50.663,75;39.845,08;48.533,89;
06-Sep-2019;47.127,20;42.393,18;50.663,75;39.845,08;48.533,89;
05-Sep-2019;46.973,05;42.295,06;50.638,00;39.877,31;48.595,92;
04-Sep-2019;46.634,61;42.007,15;50.257,17;39.573,09;48.275,35;
03-Sep-2019;46.796,44;42.105,95;50.246,76;39.504,31;48.159,70;
02-Sep-2019;46.663,31;42.026,02;50.199,90;39.490,36;48.174,37;
01-Sep-2019;46.372,38;41.833,07;50.085,53;39.490,73;48.233,86;
31-Ago-2019;46.372,38;41.833,07;50.085,53;39.490,73;48.233,86;
30-Ago-2019;46.372,38;41.833,07;50.085,53;39.490,73;48.233,86;
29-Ago-2019;46.180,37;41.698,22;50.005,10;39.473,22;48.225,47;
28-Ago-2019;46.057,78;41.623,38;49.940,46;39.423,10;48.178,86;
27-Ago-2019;45.951,24;41.529,93;49.839,36;39.361,15;48.116,92;
26-Ago-2019;45.989,31;41.578,38;49.908,87;39.394,79;48.130,54;
25-Ago-2019;46.289,47;41.743,62;49.968,90;39.383,39;48.089,09;
24-Ago-2019;46.289,47;41.743,62;49.968,90;39.383,39;48.089,09;
23-Ago-2019;46.289,47;41.743,62;49.968,90;39.383,39;48.089,09;
22-Ago-2019;46.303,33;41.763,73;49.980,24;39.397,23;48.103,54;
21-Ago-2019;46.171,07;41.652,06;49.838,77;39.290,08;48.014,14;
20-Ago-2019;46.266,07;41.726,38;49.859,77;39.298,06;48.031,83;
19-Ago-2019;45.951,65;41.504,97;49.694,09;39.225,82;47.966,04;
18-Ago-2019;45.665,60;41.305,29;49.533,94;39.127,42;47.884,31;
17-Ago-2019;45.665,60;41.305,29;49.533,94;39.127,42;47.884,31;
16-Ago-2019;45.665,60;41.305,29;49.533,94;39.127,42;47.884,31;
15-Ago-2019;46.126,93;41.570,38;49.654,75;39.141,89;47.811,66;
14-Ago-2019;46.126,93;41.570,38;49.654,75;39.141,89;47.811,66;
13-Ago-2019;46.446,71;41.803,48;49.904,15;39.250,15;47.848,19;
12-Ago-2019;46.742,34;41.992,64;50.039,91;39.302,40;47.828,12;
11-Ago-2019;46.764,55;41.991,99;50.007,99;39.277,78;47.789,31;
10-Ago-2019;46.764,55;41.991,99;50.007,99;39.277,78;47.789,31;
09-Ago-2019;46.764,55;41.991,99;50.007,99;39.277,78;47.789,31;
08-Ago-2019;46.569,76;41.850,41;49.974,60;39.308,08;47.842,34;
07-Ago-2019;46.448,46;41.736,32;49.762,51;39.102,17;47.612,72;
06-Ago-2019;46.540,36;41.796,70;49.799,16;39.088,31;47.559,70;
05-Ago-2019;47.043,70;42.079,63;49.848,64;38.962,54;47.320,16;
04-Ago-2019;47.340,10;42.268,91;49.911,55;38.888,19;47.166,15;
03-Ago-2019;47.340,10;42.268,91;49.911,55;38.888,19;47.166,15;
02-Ago-2019;47.340,10;42.268,91;49.911,55;38.888,19;47.166,15;
01-Ago-2019;47.474,11;42.328,25;49.939,32;38.882,49;47.122,63;
31-Jul-2019;47.625,06;42.388,26;49.899,99;38.802,97;47.011,91;
30-Jul-2019;47.633,68;42.387,68;49.903,72;38.790,99;46.982,98;
29-Jul-2019;47.658,68;42.402,55;49.872,82;38.746,13;46.930,07;
28-Jul-2019;47.509,49;42.297,16;49.788,39;38.686,00;46.866,14;
27-Jul-2019;47.509,49;42.297,16;49.788,39;38.686,00;46.866,14;
26-Jul-2019;47.509,49;42.297,16;49.788,39;38.686,00;46.866,14;
